,Home,,,,Road,,,Overall,,
Year,GMS,TOTAL,AVG,PCT,GMS,AVG,PCT,GMS,AVG,PCT
2020,36,633456,19795,100.0,36,17789,94.9,72,18792,97.5
2019,41,812822,19824,100.1,41,18239,95.7,82,19032,98.0
2018,41,813431,19839,100.2,41,17673,92.0,82,18756,96.2
2017,41,813050,19830,100.2,41,17925,92.8,82,18878,96.5
2016,41,812863,19825,100.1,41,17162,89.2,82,18494,94.8
2015,41,809824,19751,99.8,41,17522,90.9,82,18637,95.4
2014,41,748339,18252,92.2,41,16702,86.8,82,17477,89.5
2013,41,743936,18144,91.6,41,16313,84.8,82,17229,88.3
2012,33,555584,16835,85.0,33,16732,86.3,66,16784,85.6
2011,41,679208,16566,83.7,41,16855,91.9,82,16710,87.6
